ACTP;Angioplastia coronaria transluminal percutánea;;;;;;;;;;
ACV;Accidente cardiovascular;Accidente cerebrovascular;Angiología y cirugía vascular ;;;;;;;;
ACVA;Accidente cerebrovascular agudo;;;;;;;;;;
ACVD;Actividades de la vida diaria;;;;;;;;;;
ACVI;Accidente cerebrovascular isquémico;;;;;;;;;;
ACxFA;Arritmia completa por fibrilación auricular;;;;;;;;;;
AD;Aparato digestivo;Aurícula derecha;Axila derecha;;;;;;;;
ADA;Arteria  descendente anterior;Adenosindesaminasa;Asociación americana de diabetes;Adenosín-deaminasa;;;;;;;
ADAC;Altas dosis de arabinósido de citosina;;;;;;;;;;
ADC;Adenilciclasa;Adenocarcinoma;;;;;;;;;
ADCC;Citotoxicidad mediada por células anticuerpodependiente;;;;;;;;;;
ADD;Adición;;;;;;;;;;
ADEV;Adicto a drogas endovenosas;;;;;;;;;;
ADH;Hormona antidiurética o vasopresina;;;;;;;;;;
ADI;Asistencia domiciliaria integral;;;;;;;;;;
ADIV;Adicto a drogas intravenosas;;;;;;;;;;
ADM;Adriamicina;;;;;;;;;;
ADN;Ácido desoxirribonucleico;;;;;;;;;;
ADO;Antidiabético oral;;;;;;;;;;
ADOC;Adriamicina, cisplatino, Oncovin  y ciclofosfamida;;;;;;;;;;
ADOs;Antidiabéticos orales;;;;;;;;;;
ADP;Adenopatía;Difosfato de adenosina;Arteria  descendente posterior;;;;;;;;
ADQ;Adquirido;Alta dosis de quimioterapia;;;;;;;;;
ADR;Adrenalina;Adriamicina;;;;;;;;;
ADT;Antidepresivos tricíclicos;;;;;;;;;;
ADVP;Adicción a drogas vía parenteral;;;;;;;;;;
AE;Antecedentes epidemiológicos;;;;;;;;;;
AECC;Asociación Española contra el Cáncer;;;;;;;;;;
AEG;Adecuado para la edad gestacional;;;;;;;;;;
AEO;Arterioesclerosis obliterante;;;;;;;;;;
AEP;Protocolo de evaluación de la adecuación de los ingresos o estancias hospitalarios;;;;;;;;;;
AF;Ácido fólico;Anemia de Fanconi;Antecedentes familiares;Arteria femoral;Ataxia de Friedreich;;;;;;
AFCF;Alteración de la frecuencia cardiaca fetal;;;;;;;;;;
AFG;Angiofluoresceingrafía;;;;;;;;;;
AFP;Adriamicina, fluorouracilo y cisplatino;Alfafetoproteína;Arteria femoral profunda;;;;;;;;
AFS;Arteria femoral superficial;;;;;;;;;;
AG;Ácidos grasos;Adenocarcinoma gástrico;Anestesia general;;;;;;;;
AGCC;Ácidos grasos de cadena corta;;;;;;;;;;
AGCL;Ácidos grasos de cadena larga;;;;;;;;;;
AGD;Arteria gastroduodenal;;;;;;;;;;
AGE;Arteria gastroepiploica;;;;;;;;;;
AGL;Ácidos grasos libres;;;;;;;;;;
AGO;Antecedentes ginecológicos y obstétricos;;;;;;;;;;
AGS;Ácidos grasos saturados;;;;;;;;;;
AGT;Tolerancia anormal a la glucosa;Amnesia global transitoria;Angiotensinógeno;;;;;;;;
AH;Ácido hialurónico;Analítica habitual;Anemia hemolítica;Arteria hepática;Asa de Henle;;;;;;
AHA;Asociación Americana del Corazón;Anemia hemolítica adquirida;Anemia hemolítica aguda;Anemia hemolítica autoinmune;;;;;;;
AHAI;Anemia hemolítica autoinmune;;;;;;;;;;
AHC;Anemia hemolítica crónica;Astigmatismo Hipermetrópico Compuesto;;;;;;;;;
AHF;Factor antihemofílico o Factor VIII de la coagulación;;;;;;;;;;
AHG;Globulina antihemofílica o Factor VIII de la coagulación;;;;;;;;;;
AHO;Anticoncepción oral hormonal;;;;;;;;;;
AHS;Astigmatismo Hipermetrópico Simple;;;;;;;;;;
AI;Adriamicina e ifosfamida;Anexectomía izquierda;Angina inestable;Aurícula izquierda;Axila izquierda;;;;;;
AI;Angina inestable o infarto agudo de miocardio sin elevación del segmento ST;;;;;;;;;;
AICA;Arteria cerebelosa anteroinferior;;;;;;;;;;
AID;Acromioiliaca derecha, posición fetal;Adriamicina, ifosfamida y dacarbacina AIDS;Síndrome de inmunodeficiencia adquirida o SIDA;;;;;;;;
AII;Acromioiliaca izquierda, posición fetal;;;;;;;;;;
AINE;Analgésicos y antiinflamatorios no esteroideos;;;;;;;;;;
AINEs;Antiinflamatorios no esteroideos;;;;;;;;;;
AIS;Escala abreviada de lesiones;;;;;;;;;;
AIT;Ataque isquémico transitorio;;;;;;;;;;
AITES;Ataques isquémicos transitorios;;;;;;;;;;
AJ;Autorización judicial;;;;;;;;;;
AK;Adenosincinasa;;;;;;;;;;
AL;Ácido linoleico;Adriamicina y lomustina;Amiloidosis primaria;Anestesia local;Antecedentes laborales;Anticoagulante lúpico;;;;;
Al;Símbolo químico del aluminio;;;;;;;;;;
ALA;Ácido aminolevulínico;;;;;;;;;;
ALAT;Alaninoaminotransferasa;;;;;;;;;;
ALG;Alergología ;Globulina antilinfocítica;;;;;;;;;
ALP;Fosfatasa alcalina;;;;;;;;;;
ALR;Anestesia locorregional;;;;;;;;;;
ALS;Aldolasa;;;;;;;;;;
ALT;Alanina aminotransferasa ;;;;;;;;;;
AM;Adriamicina y melfalán o metotrexato o mitomicina C;Antecedentes médicos;Anticuerpos monoclonales;Aplasia medular;Aspirado medular;Astigmatismo;;;;;
AMA;Anticuerpos antimitocondriales;;;;;;;;;;
AMB;Ambulatorio;;;;;;;;;;
AMC;Antecedentes médicos conocidos;Astigmatismo Miópico Compuesto;;;;;;;;;
AMCHA;Ácido aminometilcicloexano-4-carboxílico o tranexámico;;;;;;;;;;
AME;Atrofia muscular espinal;;;;;;;;;;
AMF;Adriamicina, metotrexato y ácido folínico;Ángulo de máxima flexión;;;;;;;;;
AMH;Hormona antimülleriana o antidesarrollo del conducto de Müller;;;;;;;;;;
AMI;Infarto agudo de miocardio;Arteria mamaria interna;Arteria mesentérica inferior;;;;;;;;
AMO;Amoxicilina;Antecedentes médicos obstétricos;Aspirado de médula ósea;;;;;;;;
AMP;Monofosfato de adenosina;Ampicilina;;;;;;;;;
AMPc;Monofosfato de adenosina cíclico;Ampicilina;;;;;;;;;
AMQ;Antecedentes medicoquirúrgicos;;;;;;;;;;
AMS;Arteria mesentérica superior;Astigmatismo Miópico Simple;;;;;;;;;
ANA;Anticuerpo antinuclear;;;;;;;;;;
ANAE;Alfanaftilacetato esterasa;;;;;;;;;;
ANAs;Anticuerpos antinucleares;;;;;;;;;;
AnB;Anfotericina B;;;;;;;;;;
ANCA;Anticuerpos citoplasmáticos antineutrófilos;;;;;;;;;;
ANG;Aspiración nasogástrica;Aspirado nasogástrico;;;;;;;;;
ANL;Accidente no laboral;;;;;;;;;;
ANR;Anestesia y reanimación ;;;;;;;;;;
AO;Albinismo ocular;Alimentación oral;Ambos ojos;Análisis de orina;Anovulatorios;Anticoagulantes orales;Anticonceptivo oral;Antidiabéticos orales;Aorta;Arterioesclerosis obliterante;Asociación de osteosíntesis 
AO2;Contenido arterial de Oxígeno;;;;;;;;;;
AOAR;Albinismo ocular autosómico recesivo;;;;;;;;;;
AOU;Área de observación de urgencias;;;;;;;;;;
AOXN;Albinismo ocular X tipo Nettleship;;;;;;;;;;
AP;Adriamicina y cisplatino;Anatomía patológica;Antecedentes patológicos;Antecedentes personales;Anteroposterior;Arteria pulmonar;Asistencia primaria;Atresia pulmonar;Auscultación pulmonar;Auscultación y percusión;
AP-DRG;All Patient Diagnosis Related Groups;;;;;;;;;;
AP-DRGs;All Patient Diagnosis Related Groups;;;;;;;;;;
APA;Anatomía patológica ;;;;;;;;;;
APACHE;Sistema de puntuación para la evaluación de la salud con datos fisiológicos agudos y crónicos;;;;;;;;;;
APCR;Aplasia pura de células rojas;;;;;;;;;;
APD;Agencia de protección de datos;Arteria pulmonar derecha;;;;;;;;;
APE;Antígeno prostático específico;;;;;;;;;;
APG;Grupos de pacientes ambulatorios;;;;;;;;;;
API;Arteria pulmonar izquierda;;;;;;;;;;
APKD;Enfermedad poliquística renal del adulto;;;;;;;;;;
APLV;Alergia a las proteínas de la leche de vaca;;;;;;;;;;
APO;Adriamicina, prednisona y Oncovin;Antígeno pancreático oncofetal;;;;;;;;;
APP;A petición propia;Amenaza de parto prematuro;Antecedentes personales patológicos;;;;;;;;
APR-DRG;All Patient Refined Diagnosis Related Groups;;;;;;;;;;
APR-DRGs;All Patient Refined Diagnosis Related Groups;;;;;;;;;;
APS;Ambos párpados superiores;;;;;;;;;;
APSAC;Complejo activador de estreptoquinasa y plasminógeno acilado o anistreplasa;;;;;;;;;;
APSI;Adolescentes psiquiátricos ;Atresia pulmonar con septo íntegro;;;;;;;;;
APT;Alimentación parenteral total;Amnesia postraumática;Angioplastia percutánea transluminal;;;;;;;;
aPTT;Tiempo de tromboplastina parcial activada;;;;;;;;;;
APTT;Tiempo parcial de tromboplastina activada;;;;;;;;;;
APUD;Captación y descarboxilación de los precursores aminados;;;;;;;;;;
AQ;Antecedentes quirúrgicos;;;;;;;;;;
ÂQRS;Eje frontal del complejo QRS;;;;;;;;;;
AR;Anemia refractaria;Angina de reposo;Aparato respiratorio;Arteria renal;Artritis reumatoide;Auscultación respiratoria;Autosómico recesivo;;;;
ARA;Antagonista del receptor de la angiotensina II;;;;;;;;;;
ARA II;Antagonista del receptor de la angiotensina II;Inhibidores de los receptores de la angiotensina II;;;;;;;;;
ARA-C;Arabinósido de citosina o citarabina;;;;;;;;;;
ARAL;Antirreumáticos de acción lenta;;;;;;;;;;
ARD;Arteria renal derecha;;;;;;;;;;
AREB;Anemia refractaria por exceso de blastos;;;;;;;;;;
AREB-t;Anemia refractaria por exceso de blastos en transformación;;;;;;;;;;
ARF;Ablación por radiofrecuencia;;;;;;;;;;
ARI;Arteria renal izquierda;;;;;;;;;;
ARJ;Artritis reumatoide juvenil;;;;;;;;;;
ARM;Angiografía por resonancia magnética;;;;;;;;;;
ARN;Ácido ribonucleico;;;;;;;;;;
ARS;Anemia refractaria sideroblástica;Anemia refractaria simple;;;;;;;;;
ARSA;Anemia refractaria con sideroblastos en anillo;;;;;;;;;;
ART;Test de reagina automatizado;;;;;;;;;;
ARTP;Angioplastia renal transluminal percutánea;Aterectomía rotacional transluminal percutánea;;;;;;;;;
ARV;Antirretrovirales;;;;;;;;;;
AS;Aborto séptico;Aceite de silicona;Arteria subclavia;Artritis séptica;;;;;;;
ASA;Ácido acetil salicílico;Puntuación de riesgo prequirúrgico de la Sociedad americana de anestecistas;;;;;;;;;
ASAT;Aspartato aminotransferasa;;;;;;;;;;
ASCUS;Células escamosas atípicas de significado incierto;;;;;;;;;;
ASD;Angiografía por sustracción digital;;;;;;;;;;
ASK;Antiestreptocinasa;;;;;;;;;;
ASL;Antiestreptolisina;;;;;;;;;;
ASLO;Anticuerpos antiestreptolisina O;;;;;;;;;;
ASLX;Anemia sideroblástica ligada al cromosoma X;;;;;;;;;;
ASMA;Anticuerpos antimúsculo liso;;;;;;;;;;
ASO;Antiestreptolisina O;Arterioesclerosis obliterante;;;;;;;;;
AST;Aspartato transaminasa;;;;;;;;;;
ASV;Aneurisma del seno de Valsalva;;;;;;;;;;
AT;Accidente de trabajo;Angiotensina;Antitrombina;Arteritis de Takayasu;Arteritis temporal;Artroplastia total;Atresia tricuspídea;;;;
AT III;Angiotensina III;Antitrombina III;;;;;;;;;
ATC;Anemia de los trastornos crónicos;Angioplastia transluminal coronaria;Antecedentes;Antidepresivos tricíclicos;Artroplastia total de cadera;;;;;;
ATG;Antígeno;Globulina antitimocítica;;;;;;;;;
ATM;Articulación temporomandibular;;;;;;;;;;
ATMO;Autotrasplante de médula ósea;;;;;;;;;;
ATO;Absceso tuboovárico;Atorvastatina;;;;;;;;;
ATP;Activador tisular del plasminógeno;Trifosfato de adenosina;Angioplastia transluminal percutánea;;;;;;;;
ATPase;Adenosin trifosfatasa;;;;;;;;;;
ATPH;Autotrasplante de progenitores hematopoyéticos;;;;;;;;;;
ATPS;Indica que un volumen de gas es eliminado saturado con vapor de agua a temperatura y presión ambientales;;;;;;;;;;
ATR;Acidosis tubular renal;;;;;;;;;;
ATRA;Ácido transretinoico;;;;;;;;;;
ATS;Arteria temporal superficial;Ayudante técnico sanitario;;;;;;;;;
ATT;Adenoma tiroideo tóxico;;;;;;;;;;
AUC;Área bajo la curva;;;;;;;;;;
AUU;Arteria umbilical única;;;;;;;;;;
AV;Adenoma velloso;Adriamicina y vincristina;Agudeza visual;Arteriovenoso;Atrioventricular;Auriculoventricular;;;;;
AV c;Agudeza Visual de cerca;;;;;;;;;;
AV CAE;Agudeza Visual Con Agujero Estenopeico;;;;;;;;;;
AV cc;Agudeza Visual con corrección;;;;;;;;;;
AV l;Agudeza Visual de lejos;;;;;;;;;;
AV sc;Agudeza Visual sin corrección;;;;;;;;;;
AVA;Área valvular aórtica;;;;;;;;;;
AVB;Adriamicina, vincristina y bleomicina;Asistencia vital básica;Atresia de vías biliares;;;;;;;;
AVBC;Adriamicina, vincristina, bleomicina y CCNU ;;;;;;;;;;
AVC;Accidente vascular cerebral;;;;;;;;;;
AVCA;Accidente vascular cerebral agudo;;;;;;;;;;
AVD;Actividades de la vida diaria;;;;;;;;;;
aVD;Ápex de ventrículo derecho;;;;;;;;;;
aVF;Voltaje incrementado en pie, derivación del electrocardiograma;;;;;;;;;;
AVG;Ambulatory visitors groups;;;;;;;;;;
aVL;Voltaje incrementado en brazo izquierdo, derivación del electrocardiograma;;;;;;;;;;
AVM;Ácido vanililmandélico;Adriamicina, vinblastina y mitomicina;Área valvular mitral;;;;;;;;
AVP;Ácido valproico;Arginina vasopresina ;;;;;;;;;
aVR;Voltaje incrementado en brazo derecho, derivación del electrocardiograma;;;;;;;;;;
AVS;Arritmia ventricular sostenida;;;;;;;;;;
AVV;Absceso vulvovaginal;;;;;;;;;;
AXIS;Eje;;;;;;;;;;
AZT;Azidotimidina o Zidovudina;;;;;;;;;;
B;Basófilo;Biopsia;Bolsa ;;;;;;;;
B-I;Billroth I;;;;;;;;;;
B-II;Billroth II;;;;;;;;;;
B1;Vitamina B 1;;;;;;;;;;
B12;Vitamina B 12 ;;;;;;;;;;
B2;Vitamina B 2 ;;;;;;;;;;
B3;Vitamina B 3 ;;;;;;;;;;
B5;Vitamina B 5;;;;;;;;;;
B6;Vitamina B 6 ;;;;;;;;;;
B7;Vitamina B 7;;;;;;;;;;
B8;Vitamina B 8 ;;;;;;;;;;
BA;Bacilo acidorresistente;;;;;;;;;;
BAAF;Biopsia por aspiración con aguja fina;;;;;;;;;;
BAAR;Bacilo ácido alcoholrresistente;;;;;;;;;;
BAF;Biopsia con aguja fina;;;;;;;;;;
BAG;Buen aspecto general;;;;;;;;;;
BAL;Broncoalveolar;;;;;;;;;;
BAO;Secreción de ácido basal;;;;;;;;;;
BAR;Bacilo acidorresistente;;;;;;;;;;
BAS;Broncoaspiración selectiva;Broncoaspirado;;;;;;;;;
BAV;Bloqueo auriculoventricular;;;;;;;;;;
BAVC;Bloqueo auriculoventricular completo;;;;;;;;;;
BB;Biberón;Bilirrubina;;;;;;;;;
BBIA;Bomba de balón intraaórtico;;;;;;;;;;
BC;Broncopatía crónica;Bronquitis crónica;;;;;;;;;
BCA;Balón de contrapulsación aórtica;;;;;;;;;;
BCG;Bacilo de Calmette y Guérin;;;;;;;;;;
BCGF;Factor de crecimiento de células B;;;;;;;;;;
BCIA;Balón de contrapulsación intraaórtico;;;;;;;;;;
BCNU;1,3-bis 2-cloroetil-1-nitrosourea carmustina;;;;;;;;;;
BCO;Broncopatía crónica obstructiva;;;;;;;;;;
BCPA;Balón de contrapulsación aórtico;;;;;;;;;;
BCPIA;Balón de contrapulsación intraaórtico;;;;;;;;;;
BCRD;Bloqueo completo de rama derecha;;;;;;;;;;
BCRI;Bloqueo completo de rama izquierda;;;;;;;;;;
BCS;Banco de sangre ;;;;;;;;;;
BD;Bilirrubina directa / Broncodilatadores;;;;;;;;;;
BDBA;Broncodilatadores beta-adrenérgicos;;;;;;;;;;
BDI;Inventario de Depresión de Beck;Blando, depresible e indoloro;;;;;;;;;
BDZ;Benzodiazepina;;;;;;;;;;
BE;Biopsia extemporánea;;;;;;;;;;
BEACOPP;Bleomicina, etopósido, adriamicina, ciclofosfamida, Oncovin®, procarbacina y prednisona;;;;;;;;;;
BEG;Buen estado general ;;;;;;;;;;
BEI;Yodo extraíble con butanol;;;;;;;;;;
BEP;Bleomicina, etopósido y cisplatino;;;;;;;;;;
BFU;Unidad formadora de brotes o célula madre;;;;;;;;;;
BGC;Bajo gasto cardiaco;Biopsia del ganglio centinela;;;;;;;;;
BGN;Bacilo gramnegativo;;;;;;;;;;
BGP;Bacilo grampositivo;;;;;;;;;;
BHCG;Gonadotrofina coriónica humana, subunidad beta;;;;;;;;;;
BHE;Barrera hematoencefálica;;;;;;;;;;
BHP;Biopsia hepática percutánea;;;;;;;;;;
BI;Bilirrubina indirecta;Biopsia intestinal;;;;;;;;;
BI-RADS;Sistema de informes y datos de imágenes mamarias;;;;;;;;;;
BIA;Balón intraaórtico;;;;;;;;;;
BIAC;Balón intraaórtico de contrapulsación;;;;;;;;;;
BICI;Bomba de infusión continua de insulina;;;;;;;;;;
BIO;Biopsia intraoperatoria;Bioquímica clínica ;;;;;;;;;
BIPAP;Presión positiva con dos niveles de presión;;;;;;;;;;
BIRD;Bloqueo incompleto de rama derecha;;;;;;;;;;
BIRI;Bloqueo incompleto de rama izquierda;;;;;;;;;;
BITE;Test de Bulimia de Edimburgo;;;;;;;;;;
BJ;Bence Jones;;;;;;;;;;
BK;Bacilo de Koch ;;;;;;;;;;
BL;Borreliosis de Lyme;;;;;;;;;;
BMC;Biomicroscopia;;;;;;;;;;
BMI;Índice de masa corporal;;;;;;;;;;
BMN;Biopsias múltiples normalizadas;Bocio multinodular;;;;;;;;;
BMO;Biopsia de médula ósea;;;;;;;;;;
BMR;Tasa de metabolismo basal;;;;;;;;;;
BMT;Bismuto, metronidazol y tetraciclina ;;;;;;;;;;
BMTO;Bismuto, metronidazol, tetraciclina y omeprazol ;;;;;;;;;;
BNC;Bilirrubina no conjugada;;;;;;;;;;
BNCO;Bronconeumopatía crónica obstructiva;;;;;;;;;;
BNE;Broncoespasmo;;;;;;;;;;
BNT;Bocio nodular tóxico;;;;;;;;;;
BONO;Bronquiolitis obliterante con neumonía organizada;;;;;;;;;;
BOTE;Buena orientación temporoespacial;;;;;;;;;;
BP;Bajo peso;Biopsia;;;;;;;;;
BPAEG;Bajo peso pero adecuado a su edad gestacional;;;;;;;;;;
BPAF;By-pass aortofemoral;;;;;;;;;;
BPD;Bronquio principal derecho;;;;;;;;;;
BPNAEG;Bajo peso no adecuado a su edad gestacional;;;;;;;;;;
BPRS;Escala breve de evaluación psiquiátrica;;;;;;;;;;
BPRS-A;Escala breve de evaluación psiquiátrica ampliada;;;;;;;;;;
BPT;Prueba de provocación bronquial;;;;;;;;;;
BQ;Bioquímica;;;;;;;;;;
BR;Bajo riesgo;Bilirrubina;Biopsia renal;;;;;;;;
BRD;Bilirrubina directa;Bloqueo de rama derecha ;;;;;;;;;
BRDHH;Bloqueo de rama derecha del Haz de His;;;;;;;;;;
BRHH;Bloqueo de rama del Haz de His;;;;;;;;;;
BRI;Bilirrubina indirecta;Bloqueo de rama izquierda ;;;;;;;;;
BRIHH;Bloqueo de rama izquierda del Haz de His;;;;;;;;;;
BRM;Modificadores de la respuesta biológica;;;;;;;;;;
BRT;Bilirrubina total;;;;;;;;;;
BS;Bocio simple;Bradicardia sinusal;;;;;;;;;
BSC;Bloqueo simpático continuo;;;;;;;;;;
BSP;Bromosulftaleína;;;;;;;;;;
BT;Bilirrubina total;Bitemporal;;;;;;;;;
BTB;Biopsia transbronquial;;;;;;;;;;
BTPS;Condiciones de temperatura corporal, presión atmosférica ambiental y saturación de agua a temperatura corporal;;;;;;;;;;
BUN;Nitrógeno ureico en sangre;Balance ureico nitrogenado;;;;;;;;;
BVB;Buena ventilación de bases ;;;;;;;;;;
BVG;Buena ventilación global ;;;;;;;;;;
BVM;Máscara de bolsaválvula;;;;;;;;;;
ByD;Blando y depresible;;;;;;;;;;
C;Ácido ascórbico, vitamina;Canino;Carbono;Caloría grande;Cirugía;Complemento;Consulta;Culombio;;;
C-C;Cabeza y cuello;;;;;;;;;;
C/T;Índice cardiotorácico;;;;;;;;;;
C´;Complemento;;;;;;;;;;
C1, C2, C3, C4, ... C7;1ª, 2ª, 3ª, 4ª,... 7.ª vértebras cervicales;;;;;;;;;;
C3F8;Gas que, a veces, introducen en el globo ocular tras una vitrectomía para ocupar el espacio del vítreo que se ha quitado;;;;;;;;;;
CA;Cámara anterior;Colon ascendente;Cáncer;Cancer antigen ;Carcinoma;Cetoacidosis;Ciclofosfamida y adriamicina;;;;
CA 125;Marcador tumoral monoclonal del cáncer de ovario y ciertos linfomas;;;;;;;;;;
CA 15/3;Marcador tumoral monoclonal del cáncer de mama;;;;;;;;;;
CA 19/9;Marcador tumoral monoclonal del cáncer de colon, de pulmón, páncreas y mama;;;;;;;;;;
CA 50;Marcador tumoral monoclonal del adenocarcinoma colorrectal y páncreas;;;;;;;;;;
CA 54/9;Antígeno asociado a tumores de mama y colon;;;;;;;;;;
CA 72/4;Marcador tumoral de cáncer de estómago;;;;;;;;;;
CA DHP;Calcioantagonistas dihidropiridínicos;;;;;;;;;;
CA p24;Proteína P24 de la cápside del VIH ;;;;;;;;;;
CAA;Colitis asociada a antibióticos;Conjuntivitis alérgica aguda;;;;;;;;;
CAD;Cetoacidosis diabética;;;;;;;;;;
CAE;Comité asistencial de ética;Conducto auditivo externo;Con Agujero Estenopeico;;;;;;;;
CAF;Ciclofosfamida, adriamicina y fluorouracilo;;;;;;;;;;
CAGE;Problemas relacionados con la reducción de alcohol, molestarse por las críticas, sentimiento de culpa y consumo de alcohol por la mañana;;;;;;;;;;
CAI;Calcio iónico;Conducto auditivo interno;Crecimiento auricular izquierdo;;;;;;;;
CAL;Cirugía antirreflujo laparoscópica;Colecistitis aguda litiásica;;;;;;;;;
CALLA;Antígeno de la leucemia aguda linfoblástica común o CD10;;;;;;;;;;
CAM;Calcificación del anillo mitral;Concentración alveolar mínima;;;;;;;;;
CAMP;Ciclofosfamida, adriamicina, metotrexato y procarbacina;;;;;;;;;;
cAMP;Monofosfato de adenosina cíclico;Ampicilina;;;;;;;;;
CAP;Centro de atención primaria;Ciclofosfamida, adriamicina y cisplatino;Complejo areola pezón;Conducto arterioso permeable;Contracciones auriculares prematuras;;;;;;
CAPD;Diálisis peritoneal ambulatoria continua;;;;;;;;;;
CAR;Cardiología ;Cirugía artroscópica de rodilla;;;;;;;;;
CAT;Cirugía artroscópica de tobillo;;;;;;;;;;
CATB;Cesárea antes del trabajo de parto;;;;;;;;;;
CAV;Canal auriculoventricular;Comunicación arteriovenosa;;;;;;;;;
CB;Crisis blástica;;;;;;;;;;
CBA;Anticuerpo fijador del complemento;;;;;;;;;;
CBF;Control de bienestar fetal;;;;;;;;;;
CBG;Globulina transportadora de corticoides o transcortina;;;;;;;;;;
CBM;Concentración bactericida mínima;;;;;;;;;;
CBP;Cirrosis biliar primaria;;;;;;;;;;
CC;Cabeza y cuello;Cáncer de colon;;;;;;;;;
CCA;Agente de la coriza del chimpancé o virus sincitial respiratorio;Cirugía cardiaca ;;;;;;;;;
CCAD;Citotoxicidad celular anticuerpodependiente;;;;;;;;;;
CCEE;Consultas externas;;;;;;;;;;
CCF;Cromatografía en capa fina;;;;;;;;;;
CCK;Colecistocinina;;;;;;;;;;
CCLB12;Capacidad de captación libre de vitamina B12;;;;;;;;;;
CCM;Centro de cuidados mínimos;;;;;;;;;;
CCNU;1-2-cloroetil-3-cicloexil-1nitrosourea ;;;;;;;;;;
CCO;Consciente, colaborador y orientado;;;;;;;;;;
CCV;Cirugía cardiovascular ;;;;;;;;;;
